name,value,color
"Treasured Spring, Wait in Hope of Summer",1677,"#F781BF"
Eat Sour Grapefruit,1058,"#F781BF"
StarCraft II TVZ 4M Polt,11338,"#F781BF"
An Invisible Sign,2404,"#F781BF"
"《码农故事》",3316,"#F781BF"
"一地鸡毛",1994,"#F781BF"
"舞者",1904,"#F781BF"
Hello World,324,"#F781BF"
Qinghai Lake,363,"#377EB8"
Wuhan 2011,866,"#377EB8"
Mount Siguniang Through Hike,2491,"#377EB8"
Havasupai,1136,"#377EB8"
Hermann,882,"#377EB8"
Cicada Slough and Rosin,338,"#377EB8"
Go Tigers,923,"#377EB8"
Climbing at Red River George,992,"#377EB8"
Alex Honnold - El Sendero Luminoso,709,"#377EB8"
Opening Orchid,272,"#377EB8"
My Cooking,185,"#377EB8"
The Romance of a Man,937,"#377EB8"
Sanya,341,"#377EB8"
Promising Young Climbers,414,"#377EB8"
GoPro 360 Degree Video,603,"#377EB8"
How a Science Experiment Turns Into Art,427,"#377EB8"
We Won This Game,248,"#377EB8"
"Run Walter, Run!!!",351,"#377EB8"
G高达定格——《自恋刑警》神同步,388,"#377EB8"
Horseshoe Canyon Ranch,988,"#377EB8"
2014 MIZZOU Homecoming,841,"#377EB8"
Light Up,338,"#377EB8"
Google Code Jam 2014,15003,"#FF7F00"
Microsoft Coding Competition - University of Missouri I,5102,"#FF7F00"
Microsoft Coding Competition - University of Missouri II,3718,"#FF7F00"
Microsoft Coding Competition - University of Missouri III,3021,"#FF7F00"
New Domain and Web Site,2191,"#FF7F00"
"可视化网络 Gephi",5383,"#FF7F00"
